close_time,open,high,low,close,volume,trade_count
2017-08-16 23:59:59.999,4261.48,4313.62,4261.32,4308.83,47.181009,171
2017-08-17 00:59:59.999,4308.83,4328.69,4291.37,4315.32,23.234916,102
2017-08-17 01:59:59.999,4330.29,4345.45,4309.37,4324.35,7.229691,36
2017-08-17 02:59:59.999,4316.62,4349.99,4287.41,4349.99,4.443249,25
2017-08-17 03:59:59.999,4333.32,4377.85,4333.32,4360.69,0.972807,28
2017-08-17 04:59:59.999,4360.0,4445.78,4360.0,4444.0,10.763623,43
2017-08-17 05:59:59.999,4441.1,4470.0,4399.81,4460.0,24.865399,82
2017-08-17 06:59:59.999,4460.0,4485.39,4427.3,4427.3,27.018053,95
2017-08-17 07:59:59.999,4436.06,4449.56,4411.0,4411.0,23.032398,108
2017-08-17 08:59:59.999,4411.0,4459.0,4411.0,4459.0,31.312436,118
2017-08-17 09:59:59.999,4459.0,4485.39,4435.93,4470.82,51.735897,234
2017-08-17 10:59:59.999,4470.82,4470.82,4333.42,4352.34,68.48127,398
2017-08-17 11:59:59.999,4352.33,4354.35,4255.3,4354.18,67.458791,398
2017-08-17 12:59:59.999,4354.18,4354.84,4235.45,4289.24,59.664912,192
2017-08-17 13:59:59.999,4289.24,4302.45,4218.68,4256.97,51.275163,194
2017-08-17 14:59:59.999,4241.91,4335.3,4200.74,4325.23,46.71085,202
2017-08-17 15:59:59.999,4307.56,4354.84,4258.56,4346.74,48.975472,247
2017-08-17 16:59:59.999,4346.74,4369.69,4309.23,4333.55,61.773036,248
2017-08-17 17:59:59.999,4333.55,4359.13,4310.0,4336.8,57.376142,236
2017-08-17 18:59:59.999,4313.39,4337.38,4280.82,4285.08,81.645263,270
2017-08-17 19:59:59.999,4285.08,4340.62,4228.76,4286.53,82.435474,268
2017-08-17 20:59:59.999,4269.36,4269.36,4134.61,4243.59,75.684883,243
2017-08-17 21:59:59.999,4251.95,4298.64,4234.0,4267.59,54.071337,219
2017-08-17 22:59:59.999,4244.77,4308.7,4234.0,4292.39,64.001349,306
2017-08-17 23:59:59.999,4292.39,4292.39,4234.43,4287.92,50.797515,267
2017-08-18 00:59:59.999,4287.92,4340.62,4250.04,4313.56,64.169286,367
2017-08-18 01:59:59.999,4313.56,4316.98,4247.75,4279.46,64.235424,298
2017-08-18 02:59:59.999,4279.46,4304.67,4270.48,4300.25,69.186804,203
2017-08-18 03:59:59.999,4285.0,4320.71,4259.85,4282.73,74.829849,247
2017-08-18 04:59:59.999,4265.33,4327.25,4265.33,4304.15,45.653156,228
2017-08-18 05:59:59.999,4304.15,4371.52,4296.04,4356.31,51.563675,227
2017-08-18 06:59:59.999,4356.31,4357.37,4302.72,4340.31,24.093449,178
2017-08-18 07:59:59.999,4320.52,4340.31,4287.79,4331.71,15.118957,96
2017-08-18 08:59:59.999,4302.97,4318.16,4221.05,4293.09,46.533767,177
